Doc_ID,DSI_Title,Submission File Name,Student Name,Genre of Movie,Review Type (pos or neg),Movie Title,Text
193,TJH_Doc3_Angelhasfallen,TJH_Doc3_Angelhasfallen,TJH,Action,Negative,Angel has fallen,"There comes a time when every action franchise has to take a long, hard look in the mirror. Three films in, the ""Fallen"" franchise seems to have finally done that, concluding that xenophobia might not be the greatest look in 2019. The series has so far been marked by ghoulish jingoism: Olympus Has Fallen opted for full-blown paranoia, with its story of villainous North Koreans hijacking the White House, while London Has Fallen was rife with Islamophobia (it's still hard to believe that the line, ""Get back to F***headistan or wherever it is you're from,"" made it to the final cut). While the third installment in the franchise, Angel Has Fallen, is still a loud, ultra-violent, ugly-looking film, you can feel a guilt weighing heavily on its creators. As a result, it's unexpectedly self-reflective. Namely, our hero, US secret service agent Mike Banning (Gerard Butler), is finally seeing his exploits catch up with him. A doctor has cautioned him that the headaches and insomnia he's experiencing are probable signs of spinal cord damage. There's only so much more stress his body can take. Banning is left torn between his near-psychotic attachment to pursuing danger at every cost (""We're lions and that ain't never gonna change"", an old friend of his from the army says) and the cushy desk job being dangled in front of him by his boss, President Trumbull (Morgan Freeman). But that's a decision that he'll have to worry about later, after Trumbull becomes the target of a coordinated drone attack that leaves his entire security entourage dead. That is, except for Banning, who swoops in at the last moment to save the president's life. With Trumbull left in a coma, the FBI immediately pin the crime on Banning and he's forced to go on the run, track down the real culprit, and clear his name. Angel Has Fallen has, for some reason, modelled itself on Indiana Jones and the Last Crusade, as Banning tracks down the father (Nick Nolte) who abandoned him many years ago and who now lives in a booby-trapped cabin deep in the woods, far away from ""Big Brother"". Nolte is admittedly great in the role, marking the first time these films have had a genuine sense of humour and character, as he moves through the world like a delusional, dirt-encrusted Santa Claus. And while Butler is still playing the gruff action hero he's always been, his moments with Nolte feel light and spontaneous enough that you could be momentarily convinced he was a real, human person. The film's script (written by Robert Mark Kamen, Matt Cook, and director Ric Roman Waugh) never goes beyond vague anti-war statements - Banning's father notes that it makes no difference whether it's Iraq or Vietnam, all wars wreak havoc on a soldier's soul. But as these two men - both feeling past their prime - share their gripes and grumbles, it provides a welcome change of pace from the non-stop action that dominates the rest of the"
194,TJH_Doc4_Angelhasfallen,TJH_Doc4_Angelhasfallen,TJH,Action,Negative,Angel has fallen,"Ric Roman Waugh's Angel Has Fallen sees U.S. Secret Service agent Mike Banning (Gerard Butler)-having returned to his home turf after a trip across the pond-contending with more threats to international security. Mercifully jettisoning the Islamophobia of Babak Najafi's London Has Fallen, the film finds Mike framed for an assassination attempt on President Allan Trumbull (Morgan Freeman). And clearing his name appears to hinge, at least at first, on whether or not he learns to grapple with the physical and psychological toll of his previous exploits, as multiple concussions and spinal injuries have saddled him with insomnia and an addiction to painkillers. As a fleet of miniature drones slaughters Trumbull's security detail, it's impossible not to think of Mike's early interactions with his old Army Ranger buddy, Wade Jennings (Danny Huston), the head of a private military contractor. Angel Has Fallen introduces Wade openly lamenting that Trumbull's efforts to stop war profiteering have hurt his business. It's almost to the film's credit that Jennings's guilt is never in doubt, meaning that Mike's subsequent escape from custody and quest to clear his name are rooted solely in his having to contend with his traitorous friend's private army, and not some dull mystery centered around who set him up. Still, the film's framing of Mike as the most wanted man in America is clumsily executed. Given that his face is plastered on screens all over the country, you'd think that the man would be trying to avoid public exposure at all times. In practice, though, Mike is almost always in plain sight, never making any attempt to disguise himself, almost as if he's aware that no one ever seems to recognize him. The only exception to this rule is when he's held up by two armed, backwoods militiamen in Angel Has Fallen's most baffling scene; after all, when one imagines the sort of people who might be driven to an outraged citizen's arrest over an attack on a liberal, black president, one doesn't immediately think of white nationalists. Given the lack of significant impediment to Mike's movements, the film allows plenty of space for action thrills, but Waugh seems to have cobbled his set pieces together from a series of close-ups edited as if by random selection. And because of so much coherence-defying shot continuity, it's impossible to tell what's happening during any given skirmish. Even the nonviolent scenes are jittery and aggressive; a close-up at one point tracks a character picking up a phone with a whip pan so fast that the shot slips out of focus. Worst of all, though, are the special effects that mark the more grandiose set pieces, with smoke from massive explosions hanging statically in the air as a giant, solid mass and, in the film's rooftop climax, the obvious use of green screen revealing image artifacts around the actors' faces. It doesn't help that, three films into the Fallen series, Mike has almost paradoxically lost some of his dimensionality as a character. In an age"
195,TJH_Doc5_Angelhasfallen,TJH_Doc5_Angelhasfallen,TJH,Action,Negative,Angel has fallen,"Hollywood's most ridiculous franchise has been revived. That would be the ""Fallen"" series. You know, the one where doughty Secret Service agent Mike Banning (Gerard Butler) previously pulled the presidential fat out of the fire in 2013's ""Olympus Has Fallen"" and 2016's ""London Has Fallen."" Battling North Korean terrorists, who besieged the White House and took the president hostage in ""Olympus"" (reducing the executive mansion to rubble in the process), and Muslim terrorists, who briefly captured the president and trashed significant sections of London in the ""London"" installment, our man Mike seems like the embodiment of bad juju when it comes to protecting the prez. And you wonder: How does this guy keep his job? One imagines the following conversation in the Oval Office. President: ""So who's the lead agent in my protective detail today?"" Aide: ""Mike Banning, sir."" P: ""Nooo! Get him away from me!"" Followed by Mike's reassignment to the Secret Service's newly created office in Point Barrow, Alaska. That ought to keep him out of trouble. But nooo-body has apparently learned their lesson about the guy. So Banning is back on duty in ""Angel Has Fallen."" And sure enough, catastrophe ensues. A mass attack of killer drones puts the president (Morgan Freeman, taking over the role from Aaron Eckhart) in a coma and Mike in handcuffs, accused of masterminding the high-tech assassination attempt. He's been framed, of course, by mysterious forces who don't remain mysterious for long. Director-screenwriter Ric Roman Waugh and co-writers Robert Mark Kamen and Matt Cook barely bother to keep the audience guessing as to who's up to no good here. Instead, the main emphasis is on orchestrating the expected car chases, gunbattles and massive explosions. Waugh, a former stunt man, has an affinity for scenes in which flaming blown-up bodies are sent soaring skyward. With seemingly everyone on the planet hunting him, Banning has to somehow evade capture and single-handedly bring the evildoers to justice. Butler looks a little puffier this time, as though Banning's past adventures have taken a physical toll on him. And the writers have given the character certain impairments - insomnia, PTSD, etc. - that make him a bit more vulnerable than in the earlier movies. Freeman's president spends a lot of the picture in a comatose state but, when he's up and about, he's calm, quiet-spoken and dignified. You know, presidential. Or at least as presidents have been customarily portrayed in movies in the past. A bearded Nick Nolte is on hand, playing Banning's paranoid, government-hating Vietnam vet dad; Tim Blake Nelson is weaselly in the role of the vice president; Jada Pinkett Smith is snappish as a tough FBI agent; and Danny Huston is smoothly villainous as Banning's one-time best buddy turned baddie. ""Angel Has Fallen"" plays out exactly as you would expect from a potboiler of this type. No surprises here, other than that it exists at all. It's the kind of movie one expects to be released at the shank end of summer. Time to"
198,TJH_Doc8_Angelhasfallen,TJH_Doc8_Angelhasfallen,TJH,Action,Positive,Angel has fallen,"It's almost three years into the Donald Trump administration, and Morgan Freeman is still playing the president. That's not the usual way this goes. Usually, movies depicting the president choose an actor resembling the sitting president. Dick Crockett was a balding, football-loving president in ""The Pink Panther Strikes Again"" (1976), made during the Gerald Ford administration. Bill Pullman was a youngish, light-haired president, like Bill Clinton, in ""Independence Day."" Dennis Quaid was positively W.-like in ""American Dreamz"" (2006). And Jamie Foxx practically imitated Barack Obama in ""White House Down"" (2013). This tradition is so common that movies sent into production prior to an election sometimes try to anticipate the winner. Thus, ""Hunter Killer,"" released this past January but filmed in the summer of 2016, depicted the president (Caroline Goodall) as blond and female. Yet in the face of that tradition, ""Angel Has Fallen"" has chosen not to go with a Trump-like actor in the president role - as if Gary Busey couldn't do a New York accent! Instead they've elevated Freeman to the highest office. He played the speaker of the House in the previous movie in this franchise, ""London Has Fallen."" But why eschew Trump? One guess: Perhaps they thought a Trump-like actor wouldn't be sympathetic, or believable. Or perhaps they knew that just the idea of Trump is so contentious that no one in the audience would be able to think of anything else. Supporters would consider no portrayal good enough, and detractors would consider no portrayal bad enough. In any case, whoever made this decision did the right thing, because they have a good movie here, albeit one that feels grounded in an alternate-reality America. It's saying something when it's a toss-up trying to determine which world seems more screwed up, the one onscreen - with about a thousand drones attacking the president while he's out on a lake, fishing - or the one we live in. As the movie starts, our hero, Secret Service Agent Mike Banning (Gerard Butler), is tired. He has been at it since ""Olympus Has Fallen"" in 2013, and he is suffering from migraines and insomnia. He's too old for this kind of thing. And then come those drones, filling the sky like an angry flock of birds, and raining down explosives on the president and his entire Secret Service detail. The only one not targeted is Banning, and that's because he's been set up by the conspirators to be the fall guy. For most of ""Angel Has Fallen,"" the president is in a coma, the vice president is running the government, and poor Mike is on the run, trying to find the would-be assassins before he is captured. He's basically an escaped Lee Harvey Oswald, except he really is a patsy. Eluding capture would seem impossible, but the filmmakers concoct a series of situations that, if not believable, are so entertaining that we're happy to accept them. Right up there in the far-fetched-but-fun department is Nick Nolte, who turns up as"
199,TJH_Doc9_Angelhasfallen,TJH_Doc9_Angelhasfallen,TJH,Action,Positive,Angel has fallen,"Gerard Butler's U.S. Secret Service Agent Mike Banning is in rough shape at the start of Angel Has Fallen. He's got a sore shoulder, a couple of compressed vertebrae, and a case of tinnitus that rivals Pete Townsend's. It's all led to an increasing dependence on painkillers that he keeps secret from his wife (Piper Perabo, taking over duties from Radha Mitchell) and his boss, the President of the United States (Morgan Freeman). But as weary as Banning might be, if you believe the Tomatometer scores of the previous two installments of the action saga we now call the ""Fallen Trilogy,"" he is still doing better than a film critic who has had to review all three. Many seem incredulous that these examples of what has been called ""terror exploitation"" are still alive and kicking-unlike, say, any Secret Service agent who has the misfortune to pull a shift with Mike Banning. But when you remove Angel Has Fallen from the context of the previous films and take into account Mike's battered state and that he spends much of the film wrongly accused of masterminding an assassination attempt on the president, what you have is a noir for our age of technological paranoia and all-encompassing militarism. Like the first film, Angel holds you in its tight and often illogical grip. At once, it numbs you with its onslaught of body-disintegrating explosions and kill shots while stoking your fears about military-industrial conspiracies and evil infiltrating the government at the highest level. It is a doom-invoking, cathartic and strangely satisfying head-trip that's also a bit ridiculous. Directed by one-time stuntman Ric Roman Waugh-also a co-writer on the script-Angel Has Fallen shows us a world where militarism and a militaristic stance has informed every aspect of both the natural order and the social compact. That apparent cloud of bats swarming over the lake where the president is fishing? It's actually a collection of tiny drones that can identify who you are before blowing you to smithereens, as it does to Banning's 15-man security crew. A stop at gas station turns into a run-in with truckers who have dubbed themselves a militia and tote military-style guns but have no clue how to use them. Even a respite at an off-the-grid West Virginia cabin that is home to Banning's estranged father Clay (played by a delightfully game Nick Nolte) reveals a structure with both state-of-the-art surveillance and a complicated warren of tunnels. It's also wired with enough explosives to topple a small village, implying a world where a woods-bound recluse could purchase that much destruction as easily as he could buy milk. When the explosives are detonated at the hands of the seemingly doddering Nolte, the audience laughed-an indication that it was meant to be one of the film's few jokes. This is a movie that speaks more eloquently in explosives than it does words. In the eye of it all is Butler, who is sturdy and generic; he's like a movie star you could pick"
200,TJH_Doc10_Angelhasfallen,TJH_Doc10_Angelhasfallen,TJH,Action,Positive,Angel has fallen,"Perhaps you've been on a road trip where you thought you'd make it to your destination in time for lunch, but there was traffic or a detour, and the next thing you know it's 3:07 and you are starving. You pull over at a rest area and, no, gross, you aren't going to poison your bowels with Burger King, so you crunch down on that non-chain grilled chicken caesar wrap and it's like, hey, these tomatoes actually taste fresh, this dressing isn't globbed on, and there's a smidgen of care in the sear of these chicken strips. These bright moments are nothing to dismiss in life, and it's my major takeaway from Angel Has Fallen, a movie I barely knew existed 24 hours before I ended up in its weirdly captivating thrall. I saw 2013's Olympus Has Fallen, not that I remember it too well, and I skipped the sequel London Has Fallen, but I swear you don't need to have seen either of them. Gerard Butler, looking more and more like Russell Crowe's baby brother, is Action Hero Man in the guise of a secret service agent. He's the best there is, like Rambo but pro-government. He and the President (Morgan Freeman) are pals. Standing next to the leader of the free world on a fishing boat is technically work, but he likes it. Why not? They are bros and they've been through two action movies together. But trouble is brewing. Thanks to one exploded grenade in his face too many, Butler (whose character's extremely regular name is Mike Banning, but may as well be Chest Steel or something) has headaches and can't sleep. His wife (Piper Perabo) wants him to pack it in and ""ride a desk"" but his old army buddy/bellicose defense contractor with his own private killsquad college (Danny Huston) knows he'll never give up the job. Indeed, the two men sit in Adirondack chairs one evening, mooning over the good ol' days like they are ex-ball players, not warriors-for-hire who machine gun helicopter pilots until they are enveloped in flames. One day, Mike Banning is out with the Pres on his vacay and, like those weird balloons from the British series The Prisoner, very smart drone-bats appear over a lake, eviscerating the entire secret service detail. ""Holy shit!"" exclaimed the man next to me, who got into the screening for free. The President comes very close to dying in a fire, but Mike Banning saves him. He doesn't save himself, though, because we see the murderbats' POV (computers!) and his name was on a white list. He was never a target. There's something fishy about this assassination. When we get to the hospital the President is in a coma and Mike Banning wakes up with more than just a headache. His DNA is all over the van that launched the drones, and there's a bank account with Russian millions in it, too. He's being set up! Who will clear Mike Banning's name? Mike Banning will,"
283,JWG_Doc3_Batman,JWG_Doc3_Batman,JWG,Sci-Fi,Negative,Batman,"Somewhere inside *The Batman* there's a taut, slow-burning, two-hour crime drama right out of the 1970s golden decade of film. Unfortunately, director [Matt Reeves](https://popmatters.com/tag/matt-reeves) and co-writer Peter Craig gorged themselves on the Batman mythos and wound up creating a sluggish, over-stuffed draft of a mini-series awkwardly crammed into movie form. Falling in love with Gotham itself, they spend a lot of time presenting an interminable link-footage travelogue of characters driving to and fro, forgetting that Gotham on film has always been '70s-'80s post-bankruptcy New York City, the most over-exposed cityscape in film history. The last thing anyone needs is an extensive tour of such a standard-issue backdrop. During the film's production, its creators also appear to have lost interest in their genuinely compelling central storyline, leading them to drown it in an indigestible gooey topping of expendable sub-plots. It's as if they were thinking, ""We need to wedge in an emotional context involving a loyal family retainer here but get it over in as little time as possible! Can we unnecessarily flag biographical connections between characters, please? Oh, don't forget to shoehorn in the irrelevant late cameo for a popular character! We need urban blight cliches on set, please! Can someone make up a new drug for no reason? Give Wayne a secretary but only give her 20 words. Where are the sad orphans and pitiful drug users I ordered?"" The reasons for The Penguin to even be in this film are tenuous at best while most other side-plots never even rise to the level of red herrings. However, very early in the film's interminable running time was a scene that stunned me. Unfortunately, that scene was when Robert Pattinson's Batman (aka Bruce Wayne) spies on Zoe Kravitz's Selina Kyle (aka Catwoman) as she undresses. It's a well-worn cliche that has always been tone-deaf to the fact that in real life - even if it was Pattinson himself ogling a woman through binoculars - it would still be creepy, disturbing, and gross. Miraculously, there are still film executives who feel that it is unrealistic, nay impossible, not to include footage dwelling on a hot female body in a way that doesn't advance the plot, develop a relationship, or add any crucial subtext. Batman's presence occurs while looking for a woman, Annika Koslov (Hana Hrzic), who it turns out is hiding at Kyle's apartment. While failing the Bechdel Test by permitting only the most stunted communication between the two women, the film prioritizes cramming in an insinuation that Kyle is bisexual. The film rejects the potentially more powerful idea that mutually supportive friendships are vital to working-class women with precarious lives, in favor of ramping up the sexualization. Rather than lending significance to Kyle's sapphic side, the film rests on the cliche that lesbians can be 'cured' by heterosexual exposure, with Kyle converted as soon as a sufficiently hyper-masculine archetype, the Batman, walks into her life. This depthless portrayal is an instance of the strategic use of bisexuality where openness to"
284,JWG_Doc4_Batman,JWG_Doc4_Batman,JWG,Sci-Fi,Negative,Batman,"Over the last several decades, we have seen a number of different iterations of Batman come and go, from the early days of the serials, to the late '60s with Adam West, to the later film adaptations with Michael Keaton, Val Kilmer, George Clooney, and Ben Affleck. And now, Warner Bros. has decided to reboot the series once again, this time with the intriguing choice of Robert Pattinson as the legendary Dark Knight. However, this version, from director/co-writer Matt Reeves, is not only a much darker approach, but it also goes back to the original source material, where the titular hero was a full-on detective. Turning the franchise on its head like this was certainly a fascinating gamble, but would it prove to be the right direction to take the beloved character? The film opens as the Mayor of Gotham City is murdered by a mysterious psychopath called The Riddler (Paul Dano). The crime is investigated by Batman (Robert Pattinson), aka billionaire Bruce Wayne (two years into his crime-fighting job), and Lieutenant James Gordon (Jeffrey Wright) of the GCPD. A message is left at the crime scene for Batman, leading him deeper into The Riddler's game, ultimately entangling him with Selina Kyle (Zoe Kravitz), a young woman attempting to track down her friend, Carmine Falcone (John Turturro), a major crime lord in Gotham, and Falcone's right-hand man, The Penguin (Colin Farrell), with various pieces of the past coming to light along the way. It was no secret that there had been a lot of trouble getting the character of Batman up and going again after Christopher Nolan completed his outstanding trilogy in 2012. Ben Affleck was a decent fit for the part, but he just happened to be plagued with some pretty awful writing when it came to ""Batman vs. Superman"" and ""Justice League."" In that regard, it made perfect sense to start again from the ground up, which brings us to Matt Reeves' new, even moodier & darker version. Starting off with the high points, the film is very well shot by recent Oscar-winning cinematographer Greig Fraser (""Dune""). As mentioned, it's a very dark film, but the composition throughout is very skillfully executed, making for a grand visual feast. And speaking of grand, Oscar winner Michael Giacchino provides a suitably epic score to accompany the grand scale of the film. Lastly, if one person had to be singled out of this entire cast, it would have to be John Turturro, who gives the standout performance of the film as crime boss Carmine Falcone, despite having a rather short amount of screen time. Unfortunately, now we need to delve into what doesn't work about the film, which is, sadly, quite a bit. However, its number one issue is simply that Matt Reeves and Peter Craig's screenplay is rather weak. It was definitely an intriguing idea to go back to Batman's roots as a great detective to explore an area that we don't get to see very much of, but their"
285,JWG_Doc5_Batman,JWG_Doc5_Batman,JWG,Sci-Fi,Negative,Batman,"*Hockey Pads* Like the Nirvana song that opens and closes *The Batman*, there's ""Something in the Way"" of Matt Reeves' new film that prevents it from being a great comic book movie: it seems embarrassed to have been based on comic books. How can this be? Reeves himself has said in interviews that he and co-writer Peter Craig drew inspiration from famous Dark Knight storylines like ""The Long Halloween"", ""Dark Victory"", and ""Hush"". To be clear, *The Batman* has no qualms about being a comic book movie. At many (many, many) points it steals liberally from the best. But the pre-release hype surrounding Warner Bros' third big-screen iteration of the Caped Crusader in two decades tells you everything you need to know about the project's drawing board flaws. **Not-So-Secret Origins** Early on, fans gobbled up the prospect of a Batman who was more focused on detective work than fighting colorful villains in larger-than-life set pieces. I was one of them, especially when Ben Affleck was still attached to star in the project. Zack Snyder's gloomy [superhero melange](https://youtu.be/jG1_Tm61Lhc) barely gave the Oscar winner anything to do, much less allow breathing room to develop his character. Affleck's version of Bruce Wayne was also middle-aged and plenty world-weary, promising a take on crimefighting we hadn't yet seen from this franchise. At some point, Affleck left the project and Robert Pattinson was tapped to strap on the utility belt. Solid choice, I thought, from an acting standpoint (post-[*Twilight*](https://kickseat.com/written-review/2010/7/1/the-twilight-saga-eclipse-2010.html?rq=Twilight)/[Harry Potter](https://youtu.be/ofcD8BG9DZU) mega-fandom, Pattinson has shed the heartthrob label and consistently demonstrated his chops as a performer). But I got the sneaking suspicion that skewing the role younger would steer *The Batman* into origin-story territory-a far too familiar place for this franchise. Still, as a lifelong comics fan, I was excited for a new *Batman* movie whose creative team seemed equally jazzed to share a bold vision for the movies rooted in the elements that make reading DC Comics a (mostly) rewarding experience. I'm still waiting. **Four-Color Fears** Just after *The Batman* let out, I visited a nearby bookstore and flipped through the collected editions of ""The Long Halloween"" and ""Hush"". In this moment, my problems with Reeves' film came into focus. Though these storylines rely heavily on mystery and detective work,* the books themselves are vibrant as hell and full of unabashedly comic book characters. From Killer Croc to The Joker to Mad Hatter and many other rogues, it's clear that writer Jeph Loeb and artists Tim Sale (""The Long Halloween"") and Jim Lee (""Hush"") were deeply committed to telling serious and elaborate stories with characters who might otherwise have been easily written off due to their outsized proportions and crayon box aesthetics. Reeves' *Batman* is anti-colorful, with scenes doused in alternating monochrome of piss yellow, jazz club blue, and murky black (punctuated by the occasional blood red)-the distinct palettes of Christopher Nolan's Dark Knight trilogy fused together into a single dour feature. I don't mind moody and oppressive films. Reeves and DP Greig Fraser give"
288,JWG_Doc8_Batman,JWG_Doc8_Batman,JWG,Sci-Fi,Positive,Batman,"The Batman films that I have lasting and fond impressions of are those that do daring things and thrilled me in the theatre. They're the ones who upset my expectations of The Bat and his nocturnal obsessions. They are the ones that make what is, at heart, a vigilante story about a rich and privileged white dude beating the stuffing out of criminals in the streets relatable in some way. I'm not particularly fond of millionaires but part of what any Batman film has to do is make you care about his mission of vengeance. **THE BATMAN** asks what happens when vengeance isn't enough anymore. What happens when the people that you are trying to save need something more? **THE BATMAN** answers this and makes us care about his mission. Thanks to the fine direction by Matt Reeves and the equally laudable acting work of Robert Pattinson (*Tenet, [The Lighthouse](https://www.nightmarishconjurings.com/2020/01/07/blu-ray-dvd-review-the-lighthouse/)*), Zoe Kravitz (""Big Little Lies"", *Fantastic Beasts: The Crimes of Grindelwald*), Paul Dano (*Love & Mercy, 12 Years a Slave*) as Edward Nashton aka The Riddler, Jeffrey Wright ([*No Time to Die*](https://www.nightmarishconjurings.com/2021/09/28/nightmarish-detour-review-no-time-to-die/), ""Westworld"") as Lt. James Gordon, John Turturro (*Transformers* films, ""The Plot Against America"") as Carmine Falcone, Peter Sarsgaard (*The Magnificent Seven, Interrogation*) as Gotham D.A. Gil Colson, Jayme Lawson (*Farewell Amor*) as mayoral candidate Bella Reel, Andy Serkis (*the Planet of the Apes* films, *Black Panther*) as Alfred and Colin Farrell (*[The Gentlemen](https://www.nightmarishconjurings.com/2020/01/22/nightmarish-detour-review-the-gentlemen/), Fantastic Beasts and Where to Find Them*) as Oz, aka The Penguin. If I have said it once, I have said it a half dozen times. The only real reason to continue to remake, reboot, or make sequels to a film franchise is if you bring something new and exciting to the mix. **THE BATMAN** has succeeded in doing so with flying Chiroptera colors. Matt Reeves has brought another startling and fresh take to an already extant series and given it a reason to exist artistically. Just in fairly recent memory, you have the 1960s admittedly entertaining but campy Adam West television show. You have the Tim Burton series that morphed into the Joel Schumacher series. Then there's the Christopher Nolan series, which was also admittedly quite good when it was firing on all cylinders. You have Ben Affleck from the Zach Snyder DCEU. I'm not really going to say anything bad about the rest of them. All of them have their fans and their good points. But what Matt Reeves, director, and co-writer, of the film has done is that he has taken the basic idea in a different and fresh direction. Like his reboot of *The Planet Of The Apes* series that no one thought would recover after the Tim Burton embarrassment in 2001, he brought a seriousness and a love of the material that brought something back to *The Planet Of The Apes* films. Here, with **THE BATMAN**, Reeves has performed a similar feat. What Reeves has done is strip the idea of a Batman movie back down to its emotional core."
